Gene Name	Accession	Object ID
pbpC	b2519	G7322
pbpG	b2134	EG12015
pck	b3403	EG10688
pcm	b2743	EG10689
pcnB	b0143	EG10690
pdeA	b2395	EG11145
pdeB	b0457	G6252
pdeC	b4061	EG11938
pdeD	b1815	G6996
pdeF	b2503	G7314
pdeG	b1168	G6608
pdeH	b3525	EG12252
pdeI	b0833	G6433
pdeK	b3529	EG12256
pdeL	b0315	EG11236
pdeN	b2176	G7148
pdeR	b1285	G6639
pdhR	b0113	EG11088
pdxA	b0052	EG10691
pdxB	b2320	G0-9461
pdxH	b1638	EG11487
pdxI	b1406	EG11309
pdxJ	b2564	EG10693
pdxK	b2418	G7259
pdxY	b1636	G6879
peaD	b4508	G0-10555
pepA	b4260	EG10694
pepB	b2523	EG12310
pepD	b0237	EG10695
pepE	b4021	EG11920
pepN	b0932	EG10696
pepP	b2908	EG10697
pepQ	b3847	EG10698
pepT	b1127	EG11549
perR	b0254	G6129
pfkA	b3916	EG10699
pfkB	b1723	EG10700
pflA	b0902	EG10028
pflB	b0903	EG10701
pflC	b3952	EG11911
pflD	b3951	EG11910
pgaA	b1024	G6531
pgaB	b1023	G6530
pgaC	b1022	G6529
pgaD	b1021	G6528
pgi	b4025	EG10702
pgk	b2926	EG10703
pgl	b0767	G6397
pgm	b0688	EG12144
pgpA	b0418	EG10704
pgpB	b1278	EG10705
pgpC	b2560	EG11371
pgrR	b1328	G6664
pgsA	b1912	EG10706
pheA	b2599	EG10707
pheL	b2598	EG11271
pheM	b1715	EG11272
pheP	b0576	EG10708
pheS	b1714	EG10709
pheT	b1713	EG10710
pheU	b4134	EG30064
pheV	b2967	EG30065
phnC	b4106	EG10713
phnD	b4105	EG10714
phnE	b4583	EG11283
phnF	b4102	EG10715
phnG	b4101	EG10716
phnH	b4100	EG10717
phnI	b4099	EG10718
phnJ	b4098	EG10719
phnK	b4097	EG10720
phnL	b4096	EG10721
phnM	b4095	EG10722
phnN	b4094	EG10723
phnO	b4093	EG10724
phnP	b4092	EG10725
phoA	b0383	EG10727
phoB	b0399	EG10728
phoE	b0241	EG10729
phoH	b1020	EG11734
phoP	b1130	EG10731
phoQ	b1129	EG10732
phoR	b0400	EG10733
phoU	b3724	EG10735
php	b3379	G7731
phr	b0708	EG10736
pinE	b1158	EG10737
pinH	b2648	G7383
pinQ	b1545	G6819
pinR	b1374	G6697
pitA	b3493	EG12230
pitB	b2987	EG12883
plaP	b2014	EG11896
plaR	b3574	EG12278
pldA	b3821	EG10738
pldB	b3825	EG10739
pliG	b1178	G6615
plsB	b4041	EG10740
plsC	b3018	EG11377
plsX	b1090	EG11437
plsY	b3059	EG11674
pmrD	b2259	G7172
pmrR	b4703	G0-10707
pncA	b1768	EG11135
pncB	b0931	EG10742
pncC	b2700	G7409
pnp	b3164	EG10743
pntA	b1603	EG10744
pntB	b1602	EG10745
pnuC	b0751	EG11700
polA	b3863	EG10746
polB	b0060	EG10747
potA	b1126	EG10749
potB	b1125	EG10750
potC	b1124	EG10751
potD	b1123	EG10752
potE	b0692	EG10753
potF	b0854	EG11629
potG	b0855	EG11630
potH	b0856	EG11631
potI	b0857	EG11632
poxB	b0871	EG10754
ppa	b4226	EG10755
ppc	b3956	EG10756
ppdA	b2826	EG12081
ppdB	b2825	EG11156
ppdC	b2823	EG11154
ppdD	b0108	EG12107
pphA	b1838	G7011
pphB	b2734	G7415
pphC	b2072	G7111
ppiA	b3363	EG10757
ppiB	b0525	EG10758
ppiC	b3775	EG12352
ppiD	b0441	G6242
ppk	b2501	EG11510
ppnN	b2795	EG12373
ppnP	b0391	EG12159
pppA	b2972	G7539
ppsA	b1702	EG10759
ppsR	b1703	EG11132
pptA	b1461	EG11761
ppx	b2502	EG11403
pqiA	b0950	G6490
pqiB	b0951	G6491
pqiC	b0952	G6492
pqqL	b1494	EG11744
pqqU	b1451	G6762
prc	b1830	EG10760
preA	b2147	EG11289
preT	b2146	G7145
prfA	b1211	EG10761
prfB	b2891	EG10762
prfC	b4375	EG12114
prfH	b0236	EG11496
priA	b3935	EG10763
priB	b4201	EG10764
priC	b0467	EG10765
prkB	b3355	EG12365
prlC	b3498	EG11441
prlF	b3129	EG10955
prmA	b3259	EG11497
prmB	b2330	EG12449
prmC	b1212	EG12424
proA	b0243	EG10767
proB	b0242	EG10768
proC	b0386	EG10769
proK	b3545	EG30066
proL	b2189	EG30067
proM	b3799	EG30068
proP	b4111	EG11612
proQ	b1831	EG12866
proS	b0194	EG10770
proV	b2677	EG10771
proW	b2678	EG10772
proX	b2679	EG10773
proY	b0402	G6233
prpB	b0331	G6196
prpC	b0333	G6198
prpD	b0334	G6199
prpE	b0335	G6200
prpR	b0330	G6195
prs	b1207	EG10774
psaA	b4645	G0-16660
psd	b4160	EG10775
psiE	b4030	EG11209
psiF	b0384	EG11401
pspA	b1304	EG10776
pspB	b1305	EG10777
pspC	b1306	EG10778
pspD	b1307	EG10779
pspE	b1308	EG10780
pspF	b1303	EG12344
pspG	b4050	EG11933
pspH	b4758	G0-16700
pssA	b2585	EG10781
pssL	b4782	G0-17028
pstA	b3726	EG10782
pstB	b3725	EG10783
pstC	b3727	EG10784
pstS	b3728	EG10734
psuG	b2165	EG12033
psuK	b2166	EG11646
psuT	b2164	EG12032
pta	b2297	EG20173
pth	b1204	EG10785
ptrA	b2821	EG10786
ptrB	b1845	EG11004
ptrR	b1526	G6812
ptsA	b3947	EG11906
ptsG	b1101	EG10787
ptsH	b2415	EG10788
ptsI	b2416	EG10789
ptsN	b3204	EG11682
ptsP	b2829	EG12188
punC	b1660	EG12141
punR	b1659	EG12140
purA	b4177	EG10790
purB	b1131	EG11314
purC	b2476	EG10791
purD	b4005	EG10792
purE	b0523	EG10793
purF	b2312	EG10794
purH	b4006	EG10795
purK	b0522	EG10796
purL	b2557	EG10797
purM	b2499	EG10798
purN	b2500	EG10799
purR	b1658	EG10800
purT	b1849	EG11809
purU	b1232	EG11819
putA	b1014	EG10801
putP	b1015	EG10802
puuA	b1297	G6644
puuB	b1301	EG11822
puuC	b1300	EG10036
puuD	b1298	G6645
puuE	b1302	G6646
puuP	b1296	G6643
puuR	b1299	EG12431
pxpA	b0713	G6382
pxpB	b0711	G6380
pxpC	b0712	G6381
pykA	b1854	EG10803
pykF	b1676	EG10804
pyrB	b4245	EG10805
pyrC	b1062	EG10806
pyrD	b0945	EG10807
pyrE	b3642	EG10808
pyrF	b1281	EG10809
pyrG	b2780	EG10810
pyrH	b0171	EG11539
pyrI	b4244	EG10811
pyrL	b4246	EG11279
pyrR	b2381	G7244
pyrS	b2380	G7243
qmcA	b0489	G6265
qorA	b4051	EG11492
qorB	b4211	G7868
qseB	b3025	G7575
qseC	b3026	EG12658
qseG	b2555	EG12139
queA	b0405	EG10812
queC	b0444	G6245
queD	b2765	G7431
queE	b2777	G7443
queF	b2794	G7452
queG	b4166	G7843
quuD	b0551	G6307
racC	b1351	EG10813
racR	b1356	G6680
radA	b4389	EG11296
radD	b2184	EG12045
raiA	b2597	EG11151
raiZ	b4805	G0-17078
ralA	b4714	G0-16600
ralR	b1348	EG11900
rapA	b0059	EG11083
rapZ	b3205	EG12146
rarA	b0892	EG12690
rarD	b3819	EG11466
ratA	b2619	G7358
ravA	b3746	EG11731
rayT	b0228	G6112
rbbA	b3486	EG12223
rbfA	b3167	EG11178
rbn	b2268	G7175
rbsA	b3749	EG10814
rbsB	b3751	EG10815
rbsC	b3750	EG10816
rbsD	b3748	EG10817
rbsK	b3752	EG10818
rbsR	b3753	EG10819
rbsZ	b4804	G0-17077
rcbA	b1347	EG11901
rcdA	b0846	G6444
rcdB	b3521	EG12247
rclA	b0304	G6174
rclB	b0303	G6173
rclC	b0301	G6171
rclR	b0305	G6175
rcnA	b2106	G7138
rcnB	b2107	G7139
rcnR	b2105	G7137
rcsA	b1951	EG10820
rcsB	b2217	EG10821
rcsC	b2218	EG10822
rcsD	b2216	EG12385
rcsF	b0196	EG11502
rdcA	b4109	EG11210
rdcB	b4110	G7823
rdgB	b2954	G7530
rdgC	b0393	EG12158
rdlA	b4420	G0-9603
rdlB	b4422	G0-9606
rdlC	b4424	G0-9608
rdlD	b4454	G0-9042
recA	b2699	EG10823
recB	b2820	EG10824
recC	b2822	EG10825
recD	b2819	EG10826
recE	b1350	EG10827
recF	b3700	EG10828
recG	b3652	EG10829
recJ	b2892	EG10830
recN	b2616	EG10831
recO	b2565	EG10832
recQ	b3822	EG10833
recR	b0472	EG10834
recT	b1349	EG11899
recX	b2698	EG12080
relA	b2784	EG10835
relB	b1564	EG10836
relE	b1563	EG11131
rem	b1561	EG11129
renD	b0542	G6298
rep	b3778	EG10837
rfaD	b3619	EG10838
rfaH	b3842	EG10839
rfbA	b2039	EG11978
rfbB	b2041	EG12412
rfbC	b2038	EG11979
rfbD	b2040	EG12411
rfbX	b2037	EG11980
rfe	b3784	EG10840
rffC	b3790	EG11455
rffG	b3788	EG11453
rffH	b3789	EG11454
rffM	b3794	EG11458
rflP	b1707	G6925
rhaA	b3903	EG11867
rhaB	b3904	EG11868
rhaD	b3902	EG11866
rhaM	b3901	EG11865
rhaR	b3906	EG10842
rhaS	b3905	EG10843
rhaT	b3907	EG11313
rhlB	b3780	EG10844
rhlE	b0797	EG11235
rhmD	b2247	G7160
rho	b3783	EG10845
rhoL	b3782	EG12428
rhsA	b3593	EG10846
rhsB	b3482	EG10847
rhsC	b0700	EG10848
rhsD	b0497	EG10849
rhsE	b1456	EG10010
rhtA	b0813	EG12134
rhtB	b3824	EG11469
rhtC	b3823	EG11468
ribA	b1277	EG11331
ribB	b3041	EG10465
ribC	b1662	EG11406
ribD	b0414	EG11321
ribE	b0415	EG11322
ribF	b0025	EG11079
ridA	b4243	G7877
rihA	b0651	G6358
rihB	b2162	EG12030
rihC	b0030	EG11082
rimI	b4373	EG10850
rimJ	b1066	EG10851
rimK	b0852	EG10852
rimL	b1427	EG10853
rimM	b2608	EG11153
rimO	b0835	G6435
rimP	b3170	EG11179
rirA	b4760	G0-16662
rlhA	b1435	G6746
rlmA	b1822	EG12207
rlmB	b4180	G7845
rlmC	b0859	G6449
rlmD	b2785	EG11247
rlmE	b3179	EG11507
rlmF	b0807	G6416
rlmG	b3084	G7603
rlmH	b0636	EG11254
rlmI	b0967	G6501
rlmJ	b3499	EG12234
rlmL	b0948	G6488
rlmM	b2806	EG11794
rlmN	b2517	EG12401
rlpA	b0633	EG10854
rluA	b0058	EG12609
rluB	b1269	EG12433
rluC	b1086	EG11118
rluD	b2594	EG12098
rluE	b1135	G6581
rluF	b4022	EG11921
rmf	b0953	EG50004
rmuC	b3832	EG11472
rna	b0611	EG10856
rnb	b1286	EG11620
rnc	b2567	EG10857
rnd	b1804	EG10858
rne	b1084	EG10859
rng	b3247	EG11299
rnhA	b0214	EG10860
rnhB	b0183	EG10861
rnk	b0610	G6337
rnlA	b2630	G7365
rnlB	b2631	G7366
rnm	b1266	G6634
rnpA	b3704	EG10862
rnpB	b3123	EG30069
rnr	b4179	EG11259
rnt	b1652	EG11547
rob	b4396	EG11366
rodZ	b2516	EG10015
rof	b0189	G6097
roxA	b1128	EG11430
rpe	b3386	M004
rph	b3643	EG10863
rpiA	b2914	EG11443
rpiB	b4090	EG11827
rplA	b3984	EG10864
rplB	b3317	EG10865
rplC	b3320	EG10866
rplD	b3319	EG10867
rplE	b3308	EG10868
rplF	b3305	EG10869
rplI	b4203	EG10870
rplJ	b3985	EG10871
rplK	b3983	EG10872
rplL	b3986	EG10873
rplM	b3231	EG10874
rplN	b3310	EG10875
rplO	b3301	EG10876
rplP	b3313	EG10877
rplQ	b3294	EG10878
rplR	b3304	EG10879
rplS	b2606	EG10880
rplT	b1716	EG10881
rplU	b3186	EG50001
rplV	b3315	EG10882
rplW	b3318	EG10883
rplX	b3309	EG10884
rplY	b2185	EG10885
rpmA	b3185	EG50002
rpmB	b3637	EG10886
rpmC	b3312	EG10887
rpmD	b3302	EG10888
rpmE	b3936	EG10889
rpmF	b1089	EG10890
rpmG	b3636	EG10891
rpmH	b3703	EG10892
rpmI	b1717	EG11231
rpmJ	b3299	EG11232
rpnA	b3411	EG11750
rpnB	b2305	G7197
rpnC	b0132	EG11748
rpnD	b4584	G7934
rpnE	b2244	EG12323
rpoA	b3295	EG10893
rpoB	b3987	EG10894
rpoC	b3988	EG10895
rpoD	b3067	EG10896
rpoE	b2573	EG11897
rpoH	b3461	EG10897
rpoN	b3202	EG10898
rpoS	b2741	EG10510
rpoZ	b3649	EG10899
rppH	b2830	G7459
rprA	b4431	G0-8863
rpsA	b0911	EG10900
rpsB	b0169	EG10901
rpsC	b3314	EG10902
rpsD	b3296	EG10903
rpsE	b3303	EG10904
rpsF	b4200	EG10905
rpsG	b3341	EG10906
rpsH	b3306	EG10907
rpsI	b3230	EG10908
rpsJ	b3321	EG10909
rpsK	b3297	EG10910
rpsL	b3342	EG10911
rpsM	b3298	EG10912
rpsN	b3307	EG10913
rpsO	b3165	EG10914
rpsP	b2609	EG10915
rpsQ	b3311	EG10916
rpsR	b4202	EG10917
rpsS	b3316	EG10918
rpsT	b0023	EG10919
rpsU	b3065	EG10920
rraA	b3929	EG11879
rraB	b4255	G7885
rrfA	b3855	EG30070
rrfB	b3971	EG30071
rrfC	b3759	EG30072
rrfD	b3274	EG30073
rrfE	b4010	EG30074
rrfF	b3272	EG30091
rrfG	b2588	EG30075
rrfH	b0205	EG30076
rrlA	b3854	EG30077
rrlB	b3970	EG30078
rrlC	b3758	EG30079
rrlD	b3275	EG30080
rrlE	b4009	EG30081
rrlG	b2589	EG30082
rrlH	b0204	EG30083
rrrD	b0555	G6310
rrrQ	b1554	G6827
rrsA	b3851	EG30084
rrsB	b3968	EG30085
rrsC	b3756	EG30086
rrsD	b3278	EG30087
rrsE	b4007	EG30088
rrsG	b2591	EG30089
rrsH	b0201	EG30090
rsd	b3995	EG11738
rseA	b2572	EG12341
rseB	b2571	G7348
rseC	b2570	G7347
rseD	b4725	G0-16690
rseP	b0176	EG12436
rseX	b4603	G0-10574
rsfS	b0637	EG11255
rsgA	b4161	G7841
rsmA	b0051	EG10523
rsmB	b3289	EG12163
rsmC	b4371	G7950
rsmD	b3465	EG10343
rsmE	b2946	EG12366
rsmF	b1835	G7008
rsmG	b3740	EG10376
rsmH	b0082	EG11085
rsmI	b3146	G7641
rsmJ	b3497	EG12233
rspA	b1581	G6839
rspB	b1580	G6838
rspR	b1540	G6814
rssA	b1234	EG12120
rssB	b1235	EG12121
rstA	b1608	G6864
rstB	b1609	EG11233
rsuA	b2183	EG12044
rsxA	b1627	G6871
rsxB	b1628	G6872
rsxC	b1629	G6873
rsxD	b1630	G6874
rsxE	b1632	G6876
rsxG	b1631	G6875
rtcA	b4475	G7750
rtcB	b3421	G7751
rtcR	b3422	EG12356
rttR	b4425	G0-9609
rusA	b0550	G6306
rutA	b1012	G6523
rutB	b1011	G6522
rutC	b1010	G6521
rutD	b1009	G6520
rutE	b1008	G6519
rutF	b1007	G6518
rutG	b1006	G6517
rutR	b1013	EG12301
ruvA	b1861	RUVA
ruvB	b1860	RUVB
ruvC	b1863	EG10925
rybA	b4416	G0-8881
rybB	b4417	G0-8880
rydB	b4430	G0-8876
rydC	b4597	G0-10592
ryeA	b4432	G0-8865
ryeG		G0-16635
ryfA	b4440	G0-8879
ryfB	b4607	G0-10597
ryfD	b4609	G0-10600
ryhB	b4451	G0-8872
ryjA	b4459	G0-8875
ryjB	b4624	G0-10609
rzoD	b4510	G0-10436
rzoQ	b4689	G0-16675
rzoR	b4528	G0-10449
rzpD	b0556	G6311
rzpQ	b1553	G6826
rzpR	b1362	G6686
sad	b1525	G6811
safA	b1500	G6790
sanA	b2144	EG12025
sapA	b1294	G2002
sapB	b1293	G2001
sapC	b1292	G2000
sapD	b1291	EG12304
sapF	b1290	EG12305
satP	b0010	EG11512
sbcB	b2011	EG10926
sbcC	b0397	EG10927
sbcD	b0398	EG11094
sbmA	b0377	EG10928
sbmC	b2009	EG11892
sbp	b3917	EG10929
scpA	b2917	EG11444
scpB	b2919	G7516
scpC	b2920	G7517
sdaA	b1814	EG10930
sdaB	b2797	EG11623
sdaC	b2796	EG12142
sdhA	b0723	EG10931
sdhB	b0724	EG10932
sdhC	b0721	EG10933
sdhD	b0722	EG10934
sdhE	b2897	G7510
sdhX	b4764	G0-17009
sdiA	b1916	EG10935
sdsN	b4719	G0-10699
sdsR	b4433	G0-8883
secA	b0098	EG10936
secB	b3609	EG10937
secD	b0408	EG10938
secE	b3981	EG10939
secF	b0409	EG10940
secG	b3175	EG12095
secM	b0097	EG11087
secY	b3300	EG10766
selA	b3591	EG10941
selB	b3590	EG10942
selC	b3658	EG30092
selD	b1764	EG10943
selO	b1706	G6924
selU	b0503	EG11768
seqA	b0687	EG12197
serA	b2913	EG10944
serB	b4388	EG10945
serC	b0907	EG10946
serS	b0893	EG10947
serT	b0971	EG30093
serU	b1975	EG30094
serV	b2695	EG30095
serW	b0883	EG30096
serX	b1032	EG30097
setA	b0070	EG11754
setB	b2170	EG12034
setC	b3659	EG11687
sfmA	b0530	G6290
sfmC	b0531	G6291
sfmD	b0532	G6292
sfmF	b0534	EG12388
sfmH	b0533	G6293
sfsA	b0146	EG10949
sfsB	b3188	EG10656
sgbE	b3583	EG12287
sgbH	b3581	EG12285
sgbU	b3582	EG12286
sgcA	b4302	EG12554
sgcB	b4565	G0-10241
sgcC	b4304	EG12556
sgcE	b4301	G7914
sgcQ	b4303	G7915
sgcR	b4300	G7913
sgcX	b4305	EG12557
sgrR	b0069	EG12094
sgrS	b4577	G0-9941
sgrT	b4662	G0-10617
shiA	b1981	G7067
shoB	b4687	G0-10634
sibA	b4436	G0-8884
sibB	b4437	G0-8885
sibC	b4446	G0-8886
sibD	b4447	G0-8913
sibE	b4611	G0-10602
sieB	b1353	EG12154
sixA	b2340	G7211
skp	b0178	EG10455
slmA	b3641	EG11191
slp	b3506	EG11890
slt	b4392	EG10950
slyA	b1642	G6882
slyB	b1641	G6881
slyD	b3349	EG11663
slyX	b3348	EG11664
smf	b4473	EG11604
smg	b3284	EG11605
smpB	b2620	EG11782
smrA	b1340	G6672
smrB	b2331	G7202
sodA	b3908	EG10953
sodB	b1656	EG10954
sodC	b1646	G6886
sohB	b1272	EG10956
sokA	b4614	G0-10604
sokB	b4429	G0-9611
sokC	b4413	G0-9581
sokE	b4835	G0-17110
sokX	b4701	G0-10695
solA	b1059	G6556
soxR	b4063	EG10957
soxS	b4062	EG10958
speA	b2938	EG10959
speB	b2937	EG10960
speC	b2965	EG10961
speD	b0120	EG10962
speE	b0121	EG10963
speF	b0693	EG10964
speFL	b4803	G0-17074
speG	b1584	G6842
spf	b3864	EG30098
spfP	b4837	G0-17114
spoT	b3650	EG10966
sppA	b1766	EG10968
spy	b1743	G6939
sra	b1480	EG11508
sraA		G0-8861
sraB	b4418	G0-8862
sraF	b4448	G0-8869
sraG	b4449	G0-8870
srkA	b3859	EG11831
srlA	b2702	G8210
srlB	b2704	EG10970
srlD	b2705	EG10971
srlE	b2703	EG10969
srlR	b2707	EG10974
srmB	b2576	EG10975
sroA	b4762	G0-9381
sroC	b4763	G0-9383
sroD		G0-9384
sroE	b4761	G0-9385
sroG		G0-9387
sroH	b4691	G0-9388
srsR	b2921	G7518
ssb	b4059	EG10976
sseA	b2521	EG11600
sseB	b2522	EG11601
ssnA	b2879	G7498
sspA	b3229	EG10977
sspB	b3228	EG10978
ssrA	b2621	EG30100
ssrS	b2911	EG30099
sstT	b3089	EG12732
ssuA	b0936	G6478
ssuB	b0933	EG12358
ssuC	b0934	G6476
ssuD	b0935	G6477
ssuE	b0937	G6479
stfE	b1157	G6599
stfQ	b1547	G6821
stfR	b1372	G6695
stfZ	b4840	G0-17120
sthA	b3962	EG11428
stpA	b2669	EG11554
sucA	b0726	EG10979
sucB	b0727	EG10980
sucC	b0728	EG10981
sucD	b0729	EG10982
sufA	b1684	EG11378
sufB	b1683	G6909
sufC	b1682	G6908
sufD	b1681	G6907
sufE	b1679	G6905
sufS	b1680	G6906
suhB	b2533	EG10983
sulA	b0958	EG10984
surA	b0053	EG10985
sutR	b1434	G6745
sxy	b0959	G6494
syd	b2793	G7451
symE	b4347	G7940
symR	b4625	G0-10610
tabA	b4252	G7883
tadA	b2559	EG11372
tag	b3549	EG10986
talA	b2464	EG11797
talB	b0008	EG11556
tam	b1519	G6806
tamA	b4220	G7874
tamB	b4221	G7875
tap	b1885	EG10987
tapT	b2583	G7349
tar	b1886	EG10988
tas	b2834	G7462
tatA	b3836	G7806
tatB	b3838	G7808
tatC	b3839	EG11479
tatD	b4483	EG11481
tatE	b0627	EG11305
tauA	b0365	G6217
tauB	b0366	G6218
tauC	b0367	G6219
tauD	b0368	EG12423
tcdA	b2812	G7456
tcyJ	b1920	G7039
tcyL	b1918	G7037
tcyN	b1917	EG12347
tcyP	b1729	G6934
tdcA	b3118	EG10989
tdcB	b3117	EG10990
tdcC	b3116	EG10991
tdcD	b3115	EG11172
tdcE	b3114	G7627
tdcF	b3113	G7626
tdcG	b4471	G7624
tdcR	b3119	EG10992
tdh	b3616	EG10993
tdk	b1238	EG10994
tehA	b1429	EG11883
tehB	b1430	EG11884
tesA	b0494	EG11542
tesB	b0452	EG10995
tfaD	b0561	G6315
tfaE	b1156	EG11120
tfaP	b1155	G6598
tfaQ	b1546	G6820
tfaR	b1373	G6696
tfaS	b2353	G7222
tfaX	b0563	G6317
tff	b4414	G0-8895
tgt	b0406	EG10996
thiB	b0068	EG11574
thiC	b3994	EG11585
thiD	b2103	G7135
thiE	b3993	EG11586
thiF	b3992	EG11587
thiG	b3991	EG11589
thiH	b3990	EG11590
thiI	b0423	G6238
thiK	b1106	G6566
thiL	b0417	G6234
thiM	b2104	M007
thiP	b0067	EG11573
thiQ	b0066	EG11572
thiS	b4407	G1
thpR	b0147	EG12330
thrA	b0002	EG10998
thrB	b0003	EG10999
thrC	b0004	EG11000
thrL	b0001	EG11277
thrP	b3795	EG11459
thrS	b1719	EG11001
thrT	b3979	EG30101
thrU	b3976	EG30102
thrV	b3273	EG30103
thrW	b0244	EG30104
thyA	b2827	EG11002
tig	b0436	EG11003
tilS	b0188	G6096
timP	b4812	G0-17087
timR	b4811	G0-17086
tisA	b4617	G0-9961
tisB	b4618	G0-9962
tktA	b2935	EG11427
tktB	b2465	EG12100
tldD	b3244	G7689
tldE	b4235	EG10741
tmaR	b2007	G7087
tmcA	b2474	G7297
tmk	b1098	EG12302
tnaA	b3708	EG11005
tnaB	b3709	EG11006
tnaC	b3707	EG11276
tolA	b0739	EG11007
tolB	b0740	EG11008
tolC	b3035	EG11009
tolQ	b0737	EG11010
tolR	b0738	EG11011
tomB	b0461	EG12429
tonB	b1252	EG11012
topA	b1274	EG11013
topAI	b4566	G0-10473
topB	b1763	EG11014
torA	b0997	EG11814
torC	b0996	EG11815
torD	b0998	EG12195
torI	b4501	G0-9621
torR	b0995	EG12615
torS	b0993	G6514
torT	b0994	G6515
torY	b1873	G7023
torZ	b1872	G7022
tp2		G0-8894
tpiA	b3919	EG11015
tpke11		G0-8893
tpke70		G0-8906
tpr	b1229	EG11016
tpx	b1324	G6660
tqsA	b1601	G6859
treA	b1197	EG11017
treB	b4240	EG12127
treC	b4239	EG11402
treF	b3519	EG12245
treR	b4241	EG12202
trg	b1421	EG11018
trhA	b2899	G7512
trhO	b1055	EG11116
trhP	b2081	G7118
trkA	b3290	EG11019
trkG	b1363	EG11020
trkH	b3849	EG11021
trmA	b3965	EG11022
trmB	b2960	EG11779
trmD	b2607	EG11023
trmH	b3651	EG10967
trmJ	b2532	G7327
trmL	b3606	EG11888
trmO	b0195	EG11503
trpA	b1260	EG11024
trpB	b1261	EG11025
trpC	b1262	EG11026
trpD	b1263	EG11027
trpE	b1264	EG11028
trpL	b1265	EG11274
trpR	b4393	EG11029
trpS	b3384	EG11030
trpT	b3761	EG30105
truA	b2318	EG10454
truB	b3166	EG11177
truC	b2791	G7449
truD	b2745	G7422
trxA	b3781	EG11031
trxB	b0888	EG11032
trxC	b2582	EG11887
tsaB	b1807	G6991
tsaC	b3282	G7698
tsaD	b3064	EG11171
tsaE	b4168	EG11757
tsf	b0170	EG11033
tsgA	b3364	EG11262
tsr	b4355	EG11034
tsuA	b2013	EG11895
tsuB	b2012	EG11894
tsx	b0411	EG11035
ttcA	b1344	G6675
ttcC	b4638	G0-16659
ttdA	b3061	EG11168
ttdB	b3062	EG11169
ttdR	b3060	EG12694
ttdT	b3063	EG12393
tufA	b3339	EG11036
tufB	b3980	EG11037
tus	b1610	EG11038
tusA	b3470	EG12216
tusB	b3343	G7712
tusC	b3344	G7713
tusD	b3345	G7714
tusE	b0969	EG12876
tynA	b1386	EG13139
tyrA	b2600	EG11039
tyrB	b4054	EG11040
tyrP	b1907	EG11041
tyrR	b1323	EG11042
tyrS	b1637	EG11043
tyrT	b1231	EG30106
tyrU	b3977	EG30107
tyrV	b1230	EG30108
uacT	b2888	G7507
ubiA	b4040	EG11370
ubiB	b3835	EG11476
ubiC	b4039	EG11369
ubiD	b3843	EG11396
ubiE	b3833	EG11473
ubiF	b0662	G6365
ubiG	b2232	EG11143
ubiH	b2907	EG11324
ubiI	b2906	EG11333
ubiJ	b3834	EG11474
ubiK	b3042	G7582
ubiT	b3157	G7651
ubiU	b3158	G7652
ubiV	b3159	G7653
ubiX	b2311	EG11044
ucpA	b2426	EG12133
udk	b2066	EG11701
udp	b3831	EG11045
ugd	b2028	G7091
ugpA	b3452	EG11046
ugpB	b3453	EG11047
ugpC	b3450	EG11048
ugpE	b3451	EG11049
ugpQ	b3449	EG11050
uhpA	b3669	EG11051
uhpB	b3668	EG11052
uhpC	b3667	EG11053
uhpT	b3666	EG11054
uhpU	b4829	G0-17104
uidA	b1617	EG11055
uidB	b1616	EG11658
uidC	b1615	G6866
uidR	b1618	G6867
ulaA	b4193	G7856
ulaB	b4194	EG12494
ulaC	b4195	EG12495
ulaD	b4196	G7858
ulaE	b4197	G7859
ulaF	b4198	G7860
ulaG	b4192	G7855
ulaR	b4191	G7854
umpG	b2744	EG11817
umpH	b0675	EG10634
umuC	b1184	EG11056
umuD	b1183	EG11057
ung	b2580	EG11058
uof	b4637	G0-10580
upp	b2498	EG11332
uraA	b2497	EG12129
usg	b2319	EG11059
ushA	b0480	EG11060
uspA	b3495	EG11390
uspB	b3494	EG12231
uspC	b1895	G7031
uspD	b3923	EG11877
uspE	b1333	EG11246
uspF	b1376	G6699
uspG	b0607	G6334
uup	b0949	G6489
uvrA	b4058	EG11061
uvrB	b0779	EG11062
uvrC	b1913	EG11063
uvrD	b3813	EG11064
uvrY	b1914	EG11140
uxaA	b3091	EG12734
uxaB	b1521	EG11065
uxaC	b3092	G81
uxuA	b4322	EG11066
uxuB	b4323	EG20248
uxuR	b4324	EG20249
valS	b4258	EG11067
valT	b0744	EG30109
valU	b2401	EG30110
valV	b1665	EG30111
valW	b1666	EG30112
valX	b2402	EG30113
valY	b2403	EG30114
valZ	b0746	G6389
ves	b1742	G6938
viaA	b3745	EG11730
vsr	b1960	EG11068
waaA	b3633	EG10520
waaB	b3628	EG11351
waaC	b3621	EG11189
waaF	b3620	EG12210
waaG	b3631	EG11339
waaH	b3615	EG11266
waaJ	b3626	EG11353
waaL	b3622	EG11424
waaO	b3627	EG11352
waaP	b3630	EG11340
waaQ	b3632	EG11341
waaS	b3629	EG11350
waaU	b3623	EG11423
waaY	b3625	EG11425
waaZ	b3624	EG11426
wbbH	b2035	EG11982
wbbI	b2034	EG11983
wbbJ	b2033	EG11984
wbbK	b2032	EG11985
wbbL	b4571	EG11986
wcaA	b2059	G7104
wcaB	b2058	G7103
wcaC	b2057	G7102
wcaD	b2056	G7101
wcaE	b2055	G7100
