gene,1000:1_0h_1,1000:1_0h_2,1000:1_0h_3,1000:1_24h_1,1000:1_24h_2,1000:1_24h_3,1000:1_4h_1,1000:1_4h_2,1000:1_4h_3,1000:1_8h_1,1000:1_8h_2,1000:1_8h_3,1:1000_0h_1,1:1000_0h_2,1:1000_0h_3,1:1000_24h_1,1:1000_24h_2,1:1000_24h_3,1:1000_4h_1,1:1000_4h_2,1:1000_4h_3,1:1000_8h_1,1:1000_8h_2,1:1000_8h_3,1:1_0h_1,1:1_0h_2,1:1_0h_3,1:1_24h_1,1:1_24h_2,1:1_24h_3,1:1_4h_1,1:1_4h_2,1:1_4h_3,1:1_8h_1,1:1_8h_2,1:1_8h_3,E_coli_0h_1,E_coli_0h_2,E_coli_0h_3,E_coli_24h_1,E_coli_24h_2,E_coli_24h_3,E_coli_4h_1,E_coli_4h_2,E_coli_4h_3,E_coli_8h_1,E_coli_8h_2,E_coli_8h_3,P_putida_0h_1,P_putida_0h_2,P_putida_0h_3,P_putida_24h_1,P_putida_24h_2,P_putida_24h_3,P_putida_4h_1,P_putida_4h_2,P_putida_4h_3,P_putida_8h_1,P_putida_8h_2,P_putida_8h_3
b2630,2896,3270,2637,423,455,309,1766,2054,1529,1256,1731,880,16,40,35,126,125,43,13,62,18,253,193,73,2151,2038,1971,204,197,158,1304,1352,1707,616,819,516,2772,1769,1486,1259,1161,1244,1771,3071,1620,1490,1390,730,0,0,0,4,5,0,1,25,0,2,1,1
b2631,107,102,69,58,51,39,168,166,124,130,159,119,7,0,7,18,12,10,0,2,1,11,6,7,45,30,56,29,27,20,162,160,123,92,87,84,57,43,110,108,148,153,199,232,126,162,171,113,0,0,0,0,0,0,0,1,0,0,0,2
b2632,33,49,28,49,65,32,113,112,78,96,93,97,1,0,1,4,15,6,0,3,0,9,6,0,17,21,14,20,29,23,85,123,66,55,62,60,35,30,36,137,117,108,125,143,57,84,101,98,0,0,0,0,2,0,0,0,0,0,0,0
b2633,19,27,9,6,2,1,30,15,18,18,20,15,0,0,0,0,1,1,0,0,0,1,0,2,10,10,7,3,0,5,21,17,17,7,5,14,10,15,4,48,48,54,36,26,38,30,18,26,0,1,0,0,0,0,0,0,0,0,0,0
b2634,5,10,7,1,0,0,6,15,12,6,3,1,0,0,0,0,1,0,0,2,0,0,0,0,4,10,4,0,0,1,1,2,8,4,0,1,7,5,9,2,2,4,5,15,9,8,2,13,0,0,0,0,0,0,0,0,0,0,0,0
b2635,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2636,14,11,4,1,1,0,5,12,16,1,4,3,0,0,0,1,0,0,0,0,0,4,1,0,13,12,6,1,0,2,6,5,10,2,3,2,5,12,6,4,8,1,5,19,9,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0
b2637,24,7,12,1,4,1,23,30,21,8,16,6,1,0,0,0,3,0,0,0,0,2,1,1,11,8,19,0,1,1,10,18,33,2,0,5,9,4,16,12,8,3,26,54,32,19,14,6,0,0,0,0,0,0,0,0,0,0,0,0
b2638,69,131,47,502,499,258,545,584,83,477,644,371,1,2,0,117,80,32,0,1,2,13,3,3,35,71,24,340,288,114,337,467,219,407,360,238,36,76,71,1289,825,690,640,655,117,438,520,146,0,0,0,0,1,0,1,0,0,0,0,1
b2642,173,356,61,38,67,18,149,552,212,133,265,66,0,0,0,18,0,4,0,0,0,11,0,1,197,169,59,30,29,12,197,158,109,115,129,45,55,38,14,64,80,51,122,228,116,114,83,8,0,0,0,0,1,0,0,0,0,0,0,0
b2643,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
b2644,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
b2645,1,1,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,1,0,1,1,2,1,0,3,4,4,1,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
b2646,14,16,0,2,0,0,11,13,14,6,10,16,0,0,0,0,1,0,0,0,0,5,0,0,3,5,2,1,0,0,2,4,6,2,5,6,0,5,0,9,12,7,3,6,13,16,10,2,0,0,0,0,0,0,0,0,0,0,0,0
b2647,239,438,136,215,292,171,902,1015,280,592,647,502,0,2,0,67,52,36,7,5,3,50,8,8,120,199,83,163,117,66,890,999,367,444,399,412,137,270,172,599,520,527,1000,862,342,475,646,384,0,0,0,1,0,0,0,6,0,0,0,0
b2649,3,0,0,0,3,0,0,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,2,1,0,0,0,2,0,0,0,3,3,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
b2650,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2652,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
b2659,71,103,25,12745,21130,9364,5373,7462,395,19916,15894,26630,0,0,5,3143,4817,223,7,26,1,35,19,11,64,40,10,4583,5390,4592,978,5399,687,4692,1786,2097,24,125,101,23495,41581,49619,4895,8159,364,17439,16134,21680,6,7,0,4,13,0,10,7,0,7,7,0
b2660,331,535,77,8057,11090,5086,4227,5103,663,17111,13976,18306,0,3,1,2958,3223,211,1,14,4,37,23,8,194,328,24,2876,3208,1818,1443,2256,1072,4726,2150,2089,129,499,211,16369,20422,22177,4142,5739,865,14666,13670,17401,2,5,0,4,9,0,9,8,0,3,5,0
b2661,892,1217,201,6096,7964,4176,8822,10200,1965,22324,20407,24908,1,6,2,2725,2353,272,3,19,4,78,25,12,429,835,89,2466,2313,1148,3884,7196,2436,5580,3006,2959,230,1227,441,12805,13395,13886,9787,8376,2149,18799,20583,22064,6,5,0,7,30,0,3,15,0,6,7,0
b2662,1124,1491,218,5479,6761,3851,17021,16285,3204,28389,29409,31437,2,3,6,2830,2595,296,10,14,6,69,59,20,557,1090,69,2280,2090,1132,5173,16333,3408,6424,3583,3302,315,1602,390,12124,14260,15552,18604,8697,3190,22890,28029,27433,7,10,0,12,20,0,5,11,0,6,10,0
b2663,257,225,23,809,1100,657,3949,5471,568,9146,9618,9751,0,1,1,661,685,72,1,5,1,19,3,1,65,110,7,473,438,161,686,4207,467,2028,1001,985,26,237,58,2454,2347,2066,4430,2774,544,6955,9201,8312,0,2,0,3,15,0,2,5,0,2,2,0
b2664,255,268,118,411,513,303,2359,2693,328,4594,4906,4756,2,11,1,313,272,42,1,5,2,27,17,8,173,212,60,278,278,85,531,2808,285,995,510,528,183,269,95,964,782,724,2761,1141,328,4103,5129,4666,1,3,0,5,1,0,2,5,0,1,2,0
b2665,2894,7218,412,20491,25027,13845,19648,10155,2483,18810,22302,22231,1,3,14,3438,2826,1288,11,42,2,182,120,75,1721,4705,174,8896,8766,4817,21109,11821,5675,24614,22858,22413,649,9938,1319,85358,71830,75120,19192,15050,3137,21183,24282,19141,12,9,0,23,28,0,7,70,0,18,14,1
b2666,10,16,15,103,136,169,208,94,46,108,131,175,3,0,1,41,43,37,0,1,0,17,6,1,9,18,3,96,72,85,174,114,73,105,65,143,7,33,14,220,213,249,201,191,46,106,156,143,0,0,0,0,0,0,0,0,0,0,0,0
b2667,23,30,23,13,17,30,40,39,62,19,31,9,0,0,0,20,20,18,1,3,0,1,2,0,27,16,25,9,29,81,16,17,30,12,14,8,26,16,25,24,32,29,33,48,37,28,29,20,0,0,0,0,0,0,0,0,0,0,0,0
b2668,102,110,133,18,35,66,133,74,93,51,84,59,0,1,0,27,33,64,0,1,1,5,6,2,93,50,84,22,44,215,95,66,73,22,22,27,100,128,92,36,69,64,145,113,89,66,54,37,0,0,0,0,0,0,0,0,0,0,0,0
b2669,163,245,150,5,2,2,14,26,60,8,14,2,0,4,16,0,0,1,0,5,0,1,3,0,20,19,40,1,0,6,7,12,17,0,2,12,70,180,15,12,21,12,12,9,60,9,10,12,1,0,0,1,0,0,0,1,0,0,0,0
b2670,1050,1661,568,1205,1501,342,695,746,232,2068,2404,1254,13,1,8,456,362,14,2,10,7,157,96,90,737,1149,211,464,411,11,570,472,455,992,1027,1042,834,1032,523,1753,3145,4748,540,704,430,2265,2608,1485,0,1,0,3,1,0,1,17,0,1,0,0
b2671,49,93,30,210,267,119,459,379,117,364,347,418,1,0,0,43,28,18,0,6,0,10,3,2,30,46,21,129,101,97,416,368,187,239,249,245,26,76,48,485,429,520,574,539,118,321,388,285,0,0,0,0,3,0,0,4,0,0,0,0
b2672,1296,2378,275,9230,12206,6901,14591,10156,2607,10967,12327,14516,1,2,8,1700,1618,1127,5,27,1,154,60,58,716,2069,82,4900,4762,4345,11187,11830,6190,10970,9560,9374,501,3171,804,30892,24844,26881,17721,11069,3139,9955,12160,11616,6,9,0,5,12,0,7,14,0,3,6,0
b2673,33,32,15,290,196,168,66,17,17,12,19,21,0,0,0,13,8,6,0,0,0,0,0,0,2,7,5,37,31,28,22,13,5,8,8,11,23,21,14,964,805,636,49,8,17,5,15,35,0,0,0,0,0,0,0,0,0,0,0,0
b2674,6,3,7,28,25,11,9,3,7,1,4,5,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,1,2,5,5,5,1,0,4,0,1,3,1,131,112,116,6,1,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
b2675,275,151,157,537,423,262,211,68,104,61,44,127,0,0,0,60,41,35,0,6,0,2,0,0,38,25,12,60,62,45,105,22,17,28,38,35,43,103,26,3106,2314,2060,185,36,66,62,70,146,1,0,0,0,0,0,0,0,0,0,0,0
b2676,49,26,38,75,81,67,50,13,35,14,16,24,0,0,0,10,7,4,0,0,0,0,0,0,7,2,7,14,24,5,14,26,9,9,8,9,16,37,21,477,413,317,51,9,15,13,19,40,0,0,0,0,0,0,1,0,0,0,0,0
b2677,2108,982,7499,11,19,9,434,586,4566,67,113,95,0,21,18,3,3,6,16,42,7,243,274,15,552,388,2261,3,10,13,221,251,710,23,23,34,959,332,326,53,74,74,303,559,4378,90,69,90,0,1,0,0,0,0,0,3,0,2,0,0
b2678,965,404,4267,13,21,12,189,188,1622,54,80,75,7,28,11,0,0,6,15,32,2,323,273,14,234,142,1159,2,2,8,150,88,357,15,32,21,680,226,570,16,26,37,226,322,1870,88,45,97,0,0,0,0,0,0,0,1,0,0,0,0
b2679,2729,1453,7649,22,40,21,911,1091,13581,182,158,235,10,87,11,3,10,5,45,203,2,748,723,45,1479,671,2416,19,16,13,416,267,3230,47,43,59,2158,1038,1373,78,65,91,856,1534,11861,205,157,328,0,1,0,1,2,0,2,4,0,1,0,0
b2682,393,433,320,16,18,25,242,318,460,194,262,165,4,8,4,12,4,4,0,14,9,31,23,20,428,420,456,13,5,4,150,137,438,24,86,91,438,474,291,64,59,36,288,438,370,293,231,256,0,0,0,0,0,0,0,3,0,0,0,0
b2683,115,183,96,3,2,1,66,108,147,26,49,19,0,0,1,0,0,0,1,1,1,11,8,11,141,101,133,0,0,0,21,22,100,6,5,5,114,83,65,4,5,5,40,123,134,33,44,12,1,0,0,0,0,0,0,1,0,0,0,0
b2684,1385,1359,1239,60,59,32,695,827,1287,404,531,274,7,8,24,1,3,4,7,18,3,45,50,16,591,581,938,10,4,12,228,210,580,31,50,44,1029,839,526,113,101,115,642,1068,1147,562,416,184,0,0,0,0,2,0,0,5,0,0,1,0
b2685,972,824,1780,306,339,241,497,591,990,408,354,240,0,3,10,63,75,23,1,13,4,22,30,3,243,151,776,155,103,89,228,225,335,188,177,158,576,436,388,719,554,652,474,673,1096,391,374,299,1,0,0,3,0,0,0,8,0,2,0,1
b2686,232,136,754,298,298,286,161,185,307,226,302,231,1,2,9,29,22,26,0,12,2,9,12,3,55,63,331,179,136,85,113,99,162,133,119,119,269,270,321,492,286,381,182,192,337,238,289,236,0,0,0,2,0,0,0,2,0,0,0,1
b2687,178,251,103,72,70,55,346,271,177,192,231,254,3,0,4,13,10,19,0,8,1,31,7,8,110,87,100,44,35,45,178,183,204,89,89,126,159,218,187,221,228,206,325,381,156,273,299,199,0,0,0,2,4,0,0,3,0,0,0,0
b2688,4706,5595,4048,3861,4284,2534,5513,5738,5801,7026,7492,6344,43,32,52,1420,1169,700,31,94,28,444,362,94,2982,2528,3551,2283,1744,1755,4270,4076,3975,4673,4383,4614,3880,5326,2714,16524,10238,11168,5977,6608,5935,7336,7684,6463,0,3,0,16,9,0,2,35,0,3,3,1
b2689,420,384,288,58,82,37,206,233,426,396,399,318,3,4,4,26,24,7,3,18,0,29,29,11,268,192,233,42,27,34,130,164,246,134,165,149,362,364,119,337,328,363,222,251,398,410,414,418,1,0,0,0,2,0,1,7,0,0,0,0
b2690,423,411,317,74,80,49,403,343,544,366,500,342,1,5,9,35,19,8,4,14,1,59,66,9,230,265,273,34,25,19,285,291,380,159,214,165,340,412,224,259,312,358,397,549,536,417,456,400,0,0,0,0,3,0,0,7,0,0,1,0
b2691,44,40,56,0,0,0,27,15,106,12,9,14,5,9,11,0,0,0,2,2,2,9,12,1,11,21,17,0,1,1,7,12,49,0,1,9,6,11,7,11,3,12,13,37,72,7,14,23,0,0,0,2,0,0,0,0,0,0,0,0
b2692,56,50,41,0,1,2,26,64,166,56,39,26,2,3,12,1,3,0,2,14,3,18,7,5,27,22,16,1,0,0,27,30,117,7,5,18,15,24,3,12,14,13,30,48,152,46,34,68,0,0,0,0,0,0,0,2,0,0,0,0
b2693,70,61,41,1,1,6,66,84,367,88,65,31,2,6,32,1,4,1,10,18,6,18,21,6,31,25,26,3,0,0,35,73,195,10,14,17,33,25,5,39,29,38,65,73,274,51,52,99,0,0,0,0,0,0,0,0,0,0,0,0
b2694,51,56,49,2,7,7,40,55,233,89,64,41,2,9,14,2,0,0,3,20,9,19,12,1,24,23,65,0,1,0,16,43,137,11,10,13,38,32,23,17,25,50,32,31,196,75,76,110,0,0,0,1,0,0,0,0,0,0,0,0
b2695,9,10,5,9,1,7,16,15,63,8,5,17,2,1,4,1,1,1,0,0,0,1,6,1,5,5,20,6,6,4,1,2,35,1,5,13,8,7,4,14,20,15,9,7,20,14,14,15,0,0,0,0,0,0,0,0,0,0,0,0
b2696,2905,4104,2933,56480,71237,71021,28611,22362,5944,30761,34108,32781,18,68,48,9476,7341,6664,50,269,30,584,490,186,2392,3026,2501,38936,36962,32394,18616,19281,10280,30417,27881,26965,3121,5649,6623,85946,68767,82024,33085,28890,7930,29193,43292,34716,11,24,0,24,58,0,35,62,0,22,19,6
b2697,12504,11343,16727,1269,1550,931,6249,6839,12256,6828,7556,6317,68,216,230,336,306,143,114,290,67,1418,1342,199,9121,6338,16900,513,426,453,3728,2719,8537,2336,3297,2624,14934,18287,12005,4796,4289,5128,8135,10092,13695,9589,7765,7654,5,1,0,29,13,0,6,63,0,5,2,2
b2698,123,70,57,35,37,22,20,24,50,20,19,8,0,2,0,3,5,1,0,1,0,2,13,3,55,29,60,7,5,8,22,28,39,8,12,14,69,73,26,94,120,134,25,29,45,18,18,26,0,0,0,0,0,0,0,0,0,0,0,0
b2699,7199,7395,8760,1053,1490,811,4917,5831,10915,4229,5578,4514,86,93,118,235,235,80,64,207,73,1118,783,153,6599,4959,9787,475,527,541,3162,3181,7979,1555,2245,1973,6940,10279,5005,4889,4684,5093,5958,8279,10614,5694,4865,4364,2,5,0,15,10,0,3,38,0,3,0,6
b2700,392,473,268,84,121,45,191,347,796,264,303,233,2,7,8,22,17,5,3,9,6,56,50,15,377,223,294,35,38,30,63,74,415,96,126,111,484,550,126,713,580,624,223,548,662,354,260,219,1,0,0,0,1,0,1,1,0,0,0,0
b2701,1112,1569,661,205,266,82,1301,1441,957,915,947,579,2,6,5,44,45,21,1,6,3,37,27,9,463,510,432,56,62,64,739,759,767,441,476,442,544,650,124,1320,1387,1590,1093,1298,1044,1011,902,783,0,1,0,1,2,0,0,6,0,2,1,0
b2702,32,23,84,1,1,2,46,458,430,11,28,32,3,0,2,0,0,0,0,4,2,27,17,12,499,320,292,0,0,1,8,32,768,0,3,3,244,310,613,4,2,3,82,1148,580,13,12,30,0,0,0,0,0,0,0,0,0,0,0,1
b2703,10,38,137,0,2,0,75,761,681,17,20,41,9,0,16,2,0,2,0,3,2,24,16,7,739,487,404,1,0,2,20,59,1117,5,7,5,200,194,977,5,9,11,135,1869,832,29,26,25,0,0,0,0,0,0,0,0,0,0,0,0
b2704,0,14,111,1,0,0,11,82,61,2,4,4,0,0,3,0,0,0,0,0,0,10,0,3,73,42,110,0,0,0,3,6,158,0,1,1,21,21,227,0,3,0,24,199,97,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0
b2705,51,89,1542,15,17,15,145,782,436,50,40,96,1,0,18,5,0,1,0,4,7,32,27,18,551,409,1011,1,2,4,53,74,965,24,22,23,171,103,2408,30,33,32,209,1787,685,51,58,73,0,0,0,0,0,0,0,0,0,0,0,0
b2706,20,42,11,1,7,0,42,135,63,14,16,23,0,1,0,2,0,0,0,0,0,1,6,2,111,78,34,1,1,0,27,27,91,12,10,6,32,25,45,15,12,12,23,232,117,19,15,21,0,0,0,0,0,0,0,0,0,0,0,0
b2707,421,807,255,45,55,29,244,533,767,286,311,253,27,13,6,22,19,5,2,17,4,67,72,25,588,615,488,15,21,12,172,171,393,79,105,74,629,1118,286,225,230,288,252,862,856,324,323,316,0,0,0,1,0,0,2,2,0,0,0,2
b2708,293,570,279,35,40,41,193,501,1074,164,198,250,5,10,25,18,8,2,0,20,6,82,66,11,467,403,696,11,12,14,148,113,482,62,87,76,331,866,263,116,154,184,233,806,1060,249,208,284,0,1,0,0,1,0,1,2,0,0,0,0
b2709,140,310,182,108,124,61,349,281,185,363,417,363,0,2,2,24,12,12,3,3,1,42,28,14,82,190,184,66,46,44,338,342,188,213,221,201,125,230,173,311,215,223,350,439,206,371,433,430,0,0,0,1,1,0,0,2,0,0,1,0
b2710,125,150,63,128,131,60,183,184,106,170,160,108,0,0,0,27,18,8,2,1,0,2,3,3,42,76,28,42,33,31,142,181,107,106,88,67,57,76,30,525,449,473,173,189,105,169,172,137,0,0,0,0,0,0,0,1,0,0,0,0
b2711,53,71,32,33,25,17,106,96,32,31,77,58,0,0,1,7,10,3,0,0,2,2,2,1,27,34,18,7,5,9,39,45,28,20,42,28,43,47,25,71,88,99,98,94,55,86,56,64,0,0,0,0,0,0,0,0,0,0,0,0
b2712,1401,1996,1637,299,296,175,425,455,611,646,723,508,10,7,31,51,40,13,6,15,6,109,90,25,1037,1103,2149,151,108,75,315,277,409,311,337,269,2239,3254,1402,746,588,629,466,508,617,789,693,597,1,0,0,7,3,0,0,9,0,2,1,3
b2713,362,345,840,5,1,5,21,43,30,27,38,30,1,1,1,0,1,1,0,2,0,8,10,4,26,26,378,4,2,2,10,12,26,8,12,9,928,772,520,18,26,40,65,56,50,32,36,51,0,0,0,0,0,0,0,4,0,0,0,0
b2714,95,141,122,21,59,22,220,487,449,237,249,172,1,3,4,4,5,4,3,7,0,41,26,6,200,246,214,10,12,12,116,135,354,46,35,50,170,128,103,117,149,196,237,368,566,231,189,228,2,1,0,1,0,0,0,3,0,1,1,1
b2715,48,70,38,39,49,30,125,94,72,104,127,143,3,1,0,5,6,3,0,0,0,6,6,5,56,41,70,20,30,26,55,59,71,49,68,47,65,51,37,75,83,109,91,131,75,91,102,100,0,0,0,0,0,0,0,2,0,0,0,0
b2716,193,197,157,159,123,115,287,365,262,319,380,309,0,1,2,24,26,16,1,9,8,27,9,5,177,173,193,64,53,59,228,290,199,161,165,145,167,162,122,346,289,378,285,412,267,300,343,351,0,0,0,1,0,0,1,1,0,0,1,0
b2717,177,224,962,363,409,314,342,258,231,285,340,211,1,2,1,44,59,29,0,5,3,20,11,6,210,319,784,204,189,189,205,220,224,258,243,221,675,290,1820,851,754,879,248,451,147,337,358,290,0,1,0,1,0,0,0,4,0,0,0,0
b2718,35,81,462,22,15,17,23,29,20,57,58,35,0,0,0,4,4,0,0,0,0,4,1,0,16,26,398,5,4,3,18,29,15,20,11,16,341,144,1241,72,38,38,35,23,28,54,46,41,0,0,0,0,0,0,0,0,0,1,0,0
b2719,46,129,868,16,17,9,36,32,15,49,71,28,1,3,0,6,2,0,2,0,0,2,1,1,43,39,839,9,6,4,26,27,16,18,29,26,524,249,2402,59,44,42,36,43,27,57,53,47,0,0,0,0,0,0,0,2,0,0,0,0
b2720,41,117,855,1,2,0,10,8,15,9,14,18,1,0,0,1,1,0,0,0,0,1,1,0,19,13,767,0,0,0,4,1,15,5,8,4,685,186,2674,3,6,3,10,8,15,10,10,3,0,0,0,1,1,0,0,0,0,0,0,1
b2721,306,538,3811,6,14,5,44,40,58,30,47,88,0,1,2,4,1,3,1,2,0,8,2,0,82,40,4692,4,7,3,25,18,56,15,21,29,2623,951,10411,33,32,19,41,32,65,54,44,38,0,0,0,2,0,0,0,2,0,0,0,6
b2722,183,245,951,3,9,0,10,10,10,13,9,26,0,0,2,0,0,0,0,3,1,1,0,0,22,19,1605,0,1,0,5,0,14,7,16,5,790,519,3567,10,12,8,21,12,15,15,12,12,1,0,0,0,0,0,0,1,0,0,0,4
b2723,396,562,1895,5,8,5,17,18,22,15,17,20,0,0,0,2,2,4,1,0,0,0,0,0,52,23,2252,2,10,6,19,6,16,18,13,14,1463,1083,2783,26,14,15,19,17,33,24,16,23,0,0,0,3,0,0,0,1,0,1,0,3
b2724,469,473,1427,4,9,0,28,7,15,10,8,18,0,0,2,1,1,0,0,0,0,0,0,1,34,19,812,2,0,2,7,4,5,5,11,13,1605,1068,1248,14,19,14,10,14,12,14,18,11,0,0,0,0,0,0,0,2,0,0,0,0
b2725,573,519,1373,0,2,0,0,1,8,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,29,15,599,2,0,0,3,0,3,3,2,1,1863,1299,903,3,5,4,4,3,7,3,2,2,0,0,0,0,0,0,0,5,0,0,0,2
b2726,304,310,422,6,13,0,15,25,86,25,27,14,7,1,0,1,0,0,0,5,3,1,0,1,67,31,148,0,0,3,5,10,29,7,10,9,790,471,260,16,15,14,20,44,53,19,37,41,0,0,0,0,0,0,0,0,0,0,0,0
b2727,2188,3295,2081,40,54,11,346,835,3170,632,894,603,30,26,38,17,9,2,22,68,38,187,206,69,3206,2350,3471,17,11,10,262,276,1372,131,248,117,4751,6088,2170,62,74,93,419,1305,2881,877,844,625,0,1,0,11,4,0,2,28,0,0,0,0
b2728,50,93,47,2,0,0,23,18,101,10,22,9,0,1,1,1,0,0,0,1,2,4,7,0,94,62,71,0,0,0,11,11,38,3,6,6,108,163,53,2,3,0,19,30,107,12,21,17,0,0,0,0,0,0,0,5,0,0,0,0
b2729,1091,1846,990,126,139,69,426,821,2350,368,518,375,26,17,37,19,16,6,2,32,21,101,70,23,2094,1421,2822,60,40,29,300,293,904,149,199,191,2348,3169,1196,330,232,294,450,1127,2616,517,484,443,0,1,0,4,0,0,1,9,0,2,0,0
b2730,788,1162,529,341,424,253,548,869,1421,487,587,445,11,5,25,65,51,22,1,18,14,89,72,9,1366,811,1847,181,194,100,354,333,698,328,345,374,1495,1807,1031,921,703,947,547,1159,2084,552,612,440,0,1,0,2,0,0,4,9,0,0,0,0
b2731,967,1188,489,480,575,299,1677,1820,1080,1157,1139,1183,7,5,22,147,124,67,6,11,5,58,50,12,1012,613,1640,275,262,214,919,956,722,969,943,897,1226,925,677,1782,1261,1496,1633,1994,1459,1185,1241,1002,0,0,0,1,2,0,0,10,0,1,0,0
b2732,116,117,22,21,36,20,78,48,17,58,100,78,0,0,2,8,4,5,2,1,2,10,13,1,165,85,72,13,19,13,44,92,38,38,40,43,130,60,30,117,88,100,90,107,27,85,99,71,0,0,0,0,0,0,0,0,0,0,0,0
b2733,2188,2067,2362,69,78,36,553,797,1718,509,466,468,19,18,53,16,14,2,16,55,24,269,216,55,2067,1198,4824,30,21,17,216,177,830,116,143,82,2549,2828,1291,224,252,257,782,1335,1877,715,497,547,0,0,0,8,1,0,1,14,0,1,0,2
b2734,17,26,11,0,1,0,7,7,24,5,15,4,0,0,0,0,0,2,0,0,0,0,1,2,10,8,26,3,5,0,7,3,6,1,3,6,7,9,4,3,3,10,2,5,17,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0
b2735,174,273,149,106,79,44,294,282,225,451,546,363,8,2,4,20,19,11,2,13,2,27,23,10,248,292,224,29,21,31,235,290,214,130,174,157,278,262,162,356,310,344,359,445,222,507,543,358,1,0,0,0,0,0,0,3,0,0,0,0
b2736,11,27,6,25,28,9,31,26,31,40,32,40,0,0,0,6,7,3,0,0,0,0,1,0,11,16,8,12,7,7,26,40,25,16,26,21,9,5,20,68,91,64,31,22,40,25,34,35,0,0,0,0,0,0,0,0,0,0,0,0
b2737,46,53,34,12,25,7,56,66,49,54,57,62,1,0,0,1,7,2,0,0,2,5,5,2,42,17,20,9,8,1,57,46,37,20,34,52,29,42,47,54,48,46,60,63,71,68,64,55,0,0,0,0,0,0,0,2,0,0,0,0
b2738,28,36,9,4,9,3,31,25,22,45,21,53,0,1,0,1,5,0,0,1,1,2,1,0,15,19,7,7,3,4,20,13,15,19,14,20,15,39,24,20,32,34,30,36,30,40,36,46,0,0,0,0,0,0,0,0,0,0,0,0
b2739,60,58,24,15,20,17,95,67,50,63,95,60,0,0,2,15,7,4,0,3,0,10,5,0,29,38,8,14,16,5,68,63,46,43,54,51,33,90,26,66,80,51,124,120,38,86,70,79,0,0,0,0,0,0,0,0,0,0,0,0
b2740,49,58,29,94,108,81,36,56,27,76,102,59,0,0,2,19,26,12,0,2,0,2,4,0,30,29,19,49,32,25,41,42,31,78,59,48,31,21,27,248,226,197,45,73,32,63,73,82,1,0,0,0,0,0,0,1,0,0,0,0
b2741,4979,8355,4787,10547,11789,7167,33304,31801,15237,55486,55083,60963,42,62,45,1461,1361,665,44,167,25,2791,1117,506,6481,9884,2975,3816,3573,2681,29690,33749,18580,18039,21063,19877,6400,7232,11162,18572,19818,27488,40796,39162,19617,61711,62761,67195,7,12,0,28,55,0,32,75,0,12,18,6
b2742,5004,7902,4113,5658,6256,3747,16619,19655,13283,23751,29054,25239,32,44,41,603,593,321,35,148,12,1327,406,292,6470,7256,3121,1729,1587,1572,13568,16498,12594,8384,9007,7815,6124,5658,8265,10504,10790,15947,17293,20105,19617,23053,24945,31999,7,9,0,17,30,0,7,39,0,17,8,1
b2743,588,927,472,343,372,263,1191,1169,1059,1016,968,895,5,5,12,83,77,31,1,17,5,74,50,18,618,680,670,220,170,217,739,740,805,367,352,374,575,1085,668,826,712,793,1229,1541,1067,896,1044,1158,2,0,0,3,1,0,1,4,0,0,0,0
b2744,566,903,602,164,191,98,1115,952,1115,900,819,1055,4,9,9,37,28,23,8,26,6,116,80,37,643,618,790,65,69,66,650,733,858,223,282,258,690,1220,772,378,468,523,1169,1365,940,889,973,1316,2,0,0,2,1,0,0,3,0,1,1,0
